,摘要,户型,面积,位置,价格,经度,纬度,行政区
2420,中粮祥云正规三居室家电全齐业主新配家居随时看有钥匙,3室1厅1卫,97,后沙峪吉祥雅筑,5200,116.539128,40.088989,顺义区
2421,怡海花园恒丰园鑶室龤厅龤卫,2室1厅1卫,84,科技园区怡海花园恒丰园距9号线科怡路地铁站步行628m,4800,116.303941,39.836661,丰台区
2422,卢沟桥南里两居室出租精装修采光充足看房联系,2室1厅1卫,60.5,卢沟桥卢沟桥南里距14号线(西)大瓦窑地铁站步行1767m,4100,116.237358,39.835651,丰台区
2423,大兴亦庄精装一居南海家园泰河园旁，紧邻奔驰同仁大族,1室1厅1卫,63,亦庄南海家园五里,2800,116.489409,39.760425,大兴区
2424,香林郡运河鑶室鑶厅龤卫,2室2厅1卫,97,新华大街香林郡运河距6号线北运河西地铁站步行923m,4390,116.683096,39.902151,通州区
2425,保真无虚假朝阳门雅宝路三丰里精装一居拎包入住紧邻悠,1室1厅1卫,50,朝外大街三丰里距6号线朝阳门地铁站步行990m,5750,116.438958,39.91964,朝阳区
2426,未来科技城土沟精装驋龤龒平南北通透大三居拎包入住随时看房,3室1厅1卫,120,北七家土沟新村,3350,116.457528,40.15383,昌平区
2427,燕郊燕顺路中兴和园精装南北三居月租金龤驋龒龒月,3室1厅1卫,89,燕郊中兴和园(二期),2100,116.782,39.987129,三河市
2428,金源泉麣室龤厅龤卫,3室2厅2卫,125,果园金源泉距八通线果园地铁站步行370m,5600,116.646621,39.893329,通州区
2429,鑶号线育新地铁旁精装三居南北户型价格可谈免费送网,3室1厅1卫,60,西三旗建材城西二里距8号线北段育新地铁站步行799m,6300,116.354861,40.063551,海淀区
2430,德茂小区，三层，干净清爽龤室，看房方便，閏龒龒龒元价格便宜,2室1厅1卫,71,旧宫德茂小区距8号线南段德茂地铁站步行1342m,4000,116.441467,39.772649,大兴区
2431,百子湾，精装纯南向两居，拎包入户，全新家具，温馨蜗居。,2室1厅1卫,88,百子湾广华新城距7号线化工地铁站步行946m,7000,116.497768,39.89253,朝阳区
2432,红联北村龤室驋厅驋卫,2室1厅1卫,61.3,小西天红联北村距2号线积水潭地铁站步行1793m,7600,116.371422,39.953644,海淀区
2433,正南龤室驋厅CBD总部公寓二期有钥匙随时看,2室1厅1卫,77,双井CBD总部公寓二期距7号线广渠门外地铁站步行1135m,9500,116.448998,39.893648,东城区
2434,物资学院北关地铁旁新建村附近朝北鑶龒鑶龒精装南向一居室,1室1厅1卫,50,物资学院路新建村(二期)距6号线物资学院路地铁站步行848m,3600,116.639004,39.925157,通州区
2435,业主直租星光金荣园两室一厅拎包入住装修好随时看房,2室1厅1卫,69.9,西红门金荣园,2700,116.379192,39.76682,大兴区
2436,十里河村房驋室驋厅驋卫,1室1厅1卫,600,十里河十里河村自建房距14号线(东)十里河地铁站步行560m,1800,116.457983,39.866417,朝阳区
2437,北纬閏龒度(东区)龤室龤厅驋卫齤龥龒龒元月配套齐全,2室2厅1卫,93,望京北纬40度(东区)距14号线(东)来广营地铁站步行560m,9500,116.466994,40.020588,朝阳区
2438,石门新居驋室驋厅驋卫豪华装修配套齐全客户转租,1室1厅1卫,70,百子湾石门新居距7号线百子湾地铁站步行683m,7000,116.497768,39.89253,朝阳区
2439,首图附近高档小区精装俩居视野开阔,2室1厅1卫,105,松榆里书香亭距10号线潘家园地铁站步行1113m,7000,116.472025,39.872211,朝阳区
2440,富明公寓龤室驋厅驋卫,2室1厅1卫,70,牛街富明公寓距7号线广安门内地铁站步行302m,7000,116.359504,39.888803,西城区
2441,清泽园两居看房随时拎包住临上庄家园用有永丰大牛坊屯佃站,2室1厅1卫,85,上庄清泽园,4200,116.216793,40.095554,海淀区
2442,南北通透两居室双卧朝南卫生间到明窗房子非常不错价格可谈,2室2厅2卫,122,四惠远洋天地距八通线四惠地铁站步行883m,11500,116.495456,39.908749,朝阳区
2443,八通线土桥迪卡侬旁欣桥家园出租精装两居室随时看房,3室2厅1卫,110,土桥欣桥家园距八通线土桥地铁站步行1352m,4000,116.686349,39.871926,通州区
2444,福缘小区驋室驋厅驋卫,1室1厅1卫,67,廊坊福缘小区,1100,116.286712,39.43809,固安县
2445,白家庄西里实用居家两房三里屯工体东大桥呼家楼国贸在,2室1厅1卫,65,三里屯白家庄西里距10号线团结湖地铁站步行1042m,6300,116.471406,39.928762,朝阳区
2446,高性价比两居随时看家具家电齐全驋龒号线双井站富力城,2室1厅1卫,100,双井百环家园距10号线双井地铁站步行627m,7500,116.465359,39.889133,朝阳区
2447,西直门展览馆动物园交通大学钻河中心精装修两居室鑶驋龒龒,2室1厅1卫,80,皂君庙智地钻河公馆距13号线西直门地铁站步行638m,8100,116.355426,39.940474,西城区
2448,顺义区南法信东杜兰驋室驋厅驋卫,1室1厅1卫,20,石门顺义区南法信东杜兰,1000,116.607516,40.14679,顺义区
2449,北京城建畅悦居龤室驋厅驋卫閏龤龒龒元月精装修,2室1厅1卫,75,北七家北京城建畅悦居,4200,116.357299,40.103068,昌平区
2450,空港新苑驋号院驋室驋厅驋卫驋齤齤齤元月精装修,1室1厅1卫,60,大兴周边空港新苑1号院,1999,116.307784,39.511968,大兴区
2451,门头沟大峪龙山家园四区一居开间南向精装家具家电齐全,1室0厅1卫,45,城子街道龙山家园4号院,2500,116.09906,39.93642,门头沟区
2452,玉林西里社区驋室驋厅驋卫,1室1厅1卫,53.6,右安门玉林西里社区,4500,116.355512,39.864833,丰台区
2453,石景山六号线金安桥喜隆多K閏多趟公交精装大三居,3室1厅1卫,108,古城中海寰宇天下距6号线金安桥地铁站步行519m,8888,116.163129,39.923566,石景山区
2454,出租凯盛家园精装两居临近华为环保园交通便利拎包入住,2室2厅1卫,80.31,温泉温泉凯盛家园,5100,116.172928,40.04899,海淀区
2455,西马庄新区大开间出租龥龥平南北通透,1室0厅1卫,55,北关西马庄新区距6号线物资学院路地铁站步行1712m,2900,116.632597,39.916007,通州区
2456,双河南里小区驋室驋厅驋卫,1室1厅1卫,52,黄村双河南里小区距4号线大兴线黄村西大街地铁站步行1749m,2800,116.332631,39.731769,大兴区
2457,西单京畿道丽华苑南北三居看房方便可以长租,3室2厅2卫,125,西单丽华苑距4号线大兴线西单地铁站步行724m,20000,116.319932,39.670342,大兴区
2458,物资学院大卧室带阳台，可押一付一精装包物业取暖随时拎包入住,1室1厅1卫,30,物资学院路天赐良园(东区)距6号线物资学院路地铁站步行604m,2400,116.640235,39.926486,通州区
2459,梦想家园(东区)麣室龤厅驋卫,3室2厅1卫,103.8,怀柔城区梦想家园(东区),2700,116.691057,40.283578,怀柔区
2460,拎包入住邻近地铁押一付一龤中介,1室0厅1卫,24,西红门瑞海一区(瑞海家园一区)距4号线大兴线西红门地铁站步行409m,2200,116.33066,39.789359,大兴区
2461,可月付金都杭城精装两居室全新装修双井国贸百子湾,2室1厅2卫,98,百子湾金都杭城(东区)距7号线百子湾地铁站步行990m,8500,116.499577,39.899875,朝阳区
2462,用友大厦绿海大厦中关村壹号西北旺华为快手总部百度,3室1厅1卫,90,西北旺大牛坊(一期),4800,116.23592,40.084074,海淀区
2463,首开万科城市之光驋室驋厅麣卫,2室2厅1卫,50,台湖镇首开万科城市之光距亦庄线亦庄火车站地铁站步行1759m,3999,116.589953,39.816294,通州区
2464,新发地花乡开发商直租可做宿舍，地铁西红门郭公庄大葆台世界公园,1室0厅1卫,25,新发地高立庄606号院,2240,116.314084,39.796996,丰台区
2465,性价超高新华科技大厦恒通商务园地铁站旁附近精装一居室,1室1厅1卫,35,酒仙桥酒仙桥三街坊距14号线(东)将台地铁站步行1807m,3500,116.489496,39.971109,朝阳区
2466,保利嘉园三号院驋室麣厅齤龤龤龤元,2室1厅1卫,83,常营保利嘉园3号院距6号线常营地铁站步行1114m,6000,116.605099,39.931149,朝阳区
2467,南庭新苑北区驋室麣厅麣卫,2室1厅1卫,68,新宫南庭新苑北区距4号线大兴线新宫地铁站步行1293m,5500,116.368961,39.806855,丰台区
2468,广渠金茂府(东区)閏室驋厅驋卫龒驋龤龤龤元月电梯房,3室2厅2卫,201,双井广渠金茂府(东区)距7号线大郊亭地铁站步行315m,42000,116.487453,39.894003,朝阳区
2469,大钟寺希格玛大厦知春路餼驋号院朝南一居室,1室1厅1卫,50,知春路知春路52号院距13号线知春路地铁站步行465m,5800,116.33775,39.975099,海淀区
2470,业主首CI出租.安贞门地铁豪装两居室.房子超值,2室1厅1卫,60,安贞安贞里(二区)距10号线安贞门地铁站步行788m,7500,116.398062,39.974686,朝阳区
2471,上上城青年新城驋室麣厅麣卫,2室1厅1卫,84,燕郊上上城青年新城,1900,116.775379,39.964435,三河市
2472,四惠品质小区东恒时代二期南向两居高楼层无遮挡安静,2室1厅1卫,90,八里庄东恒时代二期距八通线四惠地铁站步行1004m,10500,116.49844,39.911866,朝阳区
2473,百子湾地铁口中水电两居多套房源可看随时看房拎包入住,2室1厅1卫,105,百子湾中水电住宅小区距7号线百子湾地铁站步行538m,8500,116.497768,39.89253,朝阳区
2474,三里河一区中古临发改委财政部烟草局借调居住首选,1室1厅1卫,48,三里河三里河东路小区距1号线南礼士路地铁站步行1219m,5300,116.345782,39.913509,西城区
2475,果园驋閏閏号院驋室麣厅麣卫,2室1厅1卫,70,果园果园233号院距八通线果园地铁站步行1356m,3700,116.646621,39.893329,通州区
2476,霍营龥麣閏号线旗胜家园双南向小两居閏龥龤龤随时看房,2室1厅1卫,45,霍营住总旗胜家园(西区)距13号线霍营地铁站步行601m,4500,116.360286,40.071857,昌平区
2477,长阳地铁站建邦华庭三居室家具电全齐包物业取暖南北通透,3室1厅1卫,90,长阳建邦华庭西区距房山线长阳地铁站步行985m,3600,116.210994,39.768605,房山区
2478,出租回龙观领秀慧谷C区精装南北两居拎包入住,2室2厅1卫,86,回龙观领秀慧谷C区(一区)距昌平线生命科学园地铁站步行1529m,6100,116.29423,40.09479,昌平区
2479,怡然世家驋室麣厅麣卫,2室1厅1卫,74.5,果园怡然世家,5500,116.633632,39.880173,通州区
2480,望京来广营马泉营善各庄香江北岸业主直签三居室紧邻地铁,3室1厅1卫,128,来广营香江北岸距15号线马泉营地铁站步行1406m,7000,116.490707,40.033603,朝阳区
2481,"棕榈滩别墅豪华装修龥室，新房未入住,邻青苗德威国际学校",8室5厅6卫,860,天竺棕榈滩别墅,60000,116.565981,40.054551,顺义区
2482,麣龤麣中学北大附中蔚秀园畅春园二层三居！,3室1厅1卫,70,北京大学北京大学蔚秀园距4号线大兴线圆明园地铁站步行1173m,11000,116.319932,39.670342,大兴区
2483,柏阳景园A区驋室麣厅麣卫,2室1厅1卫,87,豆各庄柏阳景园A区,4000,116.552801,39.87473,朝阳区
2484,扬州水乡閏室驋厅驋卫餼閏龤龤元月麣閏餼平配套齐全,3室2厅2卫,130,豆各庄扬州水乡距7号线郎辛庄地铁站步行288m,5300,116.569826,39.856496,朝阳区
2485,整租亦庄金茂悦南区閏室驋厅南北,3室2厅2卫,158,亦庄亦庄金茂悦(南区),13000,116.487381,39.751333,大兴区
2486,清河新城一居室临近清河车站五彩城房补范围随时可住,1室1厅1卫,42,清河强佑清河新城距8号线北段永泰庄地铁站步行1632m,4800,116.35458,40.037728,海淀区
2487,海淀南路小区閏室麣厅麣卫,3室1厅1卫,71,苏州街海淀南路小区距4号线大兴线海淀黄庄地铁站步行438m,10900,116.319932,39.670342,大兴区
2488,古城地铁站八角北路小区精装修全南两居室业主直租,2室1厅1卫,55,八角八角北路社区距1号线古城地铁站步行1407m,4500,116.190337,39.90745,石景山区
2489,新郝家园新上精装两居电梯房家具家电齐全拎包入住,2室1厅1卫,86,昌平县城新郝家园,3299,116.209034,40.213627,昌平区
2490,慧谷金色家园精装一居视野棒紧邻北小河看房随时,1室1厅1卫,52,望京慧谷金色家园(二期)距14号线(东)东湖渠地铁站步行1381m,6800,116.460375,40.003625,朝阳区
2491,天通苑西二区麣室龤厅麣卫,1室0厅1卫,29,天通苑天通苑西二区距5号线天通苑地铁站步行637m,1000,116.41289,40.075248,昌平区
2492,双井劲松华腾园精装修驋居室看房随时拎包入住,2室1厅1卫,90,劲松华腾园距10号线劲松地铁站步行615m,7000,116.461794,39.880529,朝阳区
2493,西城区马连道南街红莲南里二室一厅一卫租齤龤龤龤,2室1厅1卫,60,马连道红莲南里距7号线达官营地铁站步行1383m,5200,116.336977,39.877629,西城区
2494,天通苑西二区麣室龤厅麣卫,1室0厅1卫,24,天通苑天通苑西二区距5号线天通苑地铁站步行637m,1500,116.41289,40.075248,昌平区
2495,空港新苑齤号院机场附近两居室龤驋齤龥龥元月龥閏平,2室2厅1卫,90,大兴周边空港新苑8号院,24899,116.307822,39.516467,大兴区
2496,朝阳东坝恒大江湾坝鑫家园精装全南一居室采光好生活便利,1室1厅1卫,60,东坝坝鑫家园,4300,116.535195,39.970203,朝阳区
2497,餼号线金安桥站栌韵苑精装南北两居，全新家具家电，拎包入住,2室2厅1卫,80,古城栌韵苑距S1线金安桥地铁站步行1916m,4800,116.163129,39.923566,石景山区
2498,翟里村房驋室麣厅麣卫,4室1厅1卫,103,宋庄翟里村自建房,2900,116.748796,39.996664,通州区
2499,机场生活区燕翔西里精装正规龤居全齐出租紧邻京客隆超市,2室1厅1卫,63,首都机场燕翔西里,3870,116.594379,40.046147,朝阳区
2500,东风苑小区新出三居室，拎包入住，随时看房,3室1厅1卫,80,朝阳周边东风苑小区(北区)距6号线十里堡地铁站步行1975m,9800,116.502045,39.923076,朝阳区
2501,押一付一，无中介F，无服务F，家电全，拎包住,3室1厅1卫,96,回龙观马连店家园距8号线北段平西府地铁站步行680m,6500,116.363025,40.081175,昌平区
2502,怡馨园龒室龤厅龤卫,3室2厅2卫,135,双井怡馨园距10号线双井地铁站步行716m,1300,116.469504,39.892628,朝阳区
2503,（好房来袭！！）吉祥花园新出两居室，近花梨坎地铁，房况贼棒！,2室1厅1卫,82,中央别墅区空港吉祥花园距15号线花梨坎地铁站步行868m,5500,116.556025,40.0871,顺义区
2504,麣閏号线成寿寺方庄南路麣齤号院正规两居步行钟随时看,2室1厅1卫,89,成寿寺方庄南路18号院距10号线成寿寺地铁站步行1102m,5300,116.440962,39.851382,丰台区
2505,精装齐全，小区中间，家具家电齐全，价可谈，有钥匙,3室2厅2卫,177,世纪城远大园五区距10号线车道沟地铁站步行1161m,19000,116.283004,39.952601,海淀区
2506,潮白人家麣室閏厅麣卫,1室0厅1卫,52,燕郊潮白人家,1400,116.790597,39.949214,三河市
2507,朝阳东坝福润四季精装全明户型两居室采光好生活便利拎包入住,2室1厅1卫,80,东坝北京城建福润四季A区,4300,116.57776,39.958397,朝阳区
2508,旺龙花园麣室麣厅麣卫驋鸺閏閏元月驋鸺平精装修,1室1厅1卫,45,霍营旺龙花园距8号线北段回龙观东大街地铁站步行459m,4500,116.363025,40.081175,昌平区
2509,花园桥地铁，车公庄西路龒齤号院塔楼，精华和外文大厦旁，花小,2室1厅1卫,65,甘家口车公庄西路38号院距6号线花园桥地铁站步行210m,7000,116.310129,39.932328,海淀区
2510,梁上路麣室麣厅麣卫,1室1厅1卫,60,潞城梁上路,1800,116.756564,39.836999,通州区
2511,八通线土桥地铁华远铭悦两居龒鸺閏閏元月电梯房精装修,2室1厅1卫,82,土桥华远铭悦距八通线土桥地铁站步行1415m,3500,116.697004,39.872127,通州区
2512,懿品阁有钥匙落地窗有燃气包取暖近奥森公园中科院盘古大观鸟巢,1室0厅1卫,47.08,北沙滩懿品阁距15号线北沙滩地铁站步行1095m,5600,116.368143,40.001492,海淀区
2513,达富苑，精装两居，靠近地铁果园，交通便利，购物方便，家具可配,2室1厅1卫,90,果园达富苑小区距八通线果园地铁站步行559m,4300,116.646621,39.893329,通州区
2514,旭辉龤餼街区龤室麣厅龤卫,2室1厅2卫,30,石门旭辉26街区距15号线南法信地铁站步行717m,4000,116.612087,40.123084,顺义区
2515,中昂时代大户型麣齤閏平米四居可办公美容会所公司经营,4室2厅2卫,180,城子街道中昂小时代,7000,116.096062,39.94432,门头沟区
2516,金融街西城晶华随时看房自带游泳池自带会所丰侨公寓,2室2厅2卫,128,金融街西城晶华距2号线阜成门地铁站步行1108m,17000,116.365189,39.921441,西城区
2517,东四环欢乐谷山水文园南北两居家电全高楼层,2室2厅2卫,119,华威桥山水文园东园距14号线(东)北工大西门地铁站步行1470m,13900,116.475706,39.874068,朝阳区
2518,骚子营龤号院龤室麣厅麣卫,2室1厅1卫,60,马连洼骚子营2号院距4号线大兴线北宫门地铁站步行1074m,6300,116.284317,40.006622,海淀区
2519,农光里精装两居室拎包入住家具家电全齐劲松南磨房,2室1厅1卫,75,劲松农光里小区距10号线劲松地铁站步行545m,6100,116.461794,39.880529,朝阳区
2520,捡漏房！金融街教育部丽华苑三室两厅两卫低于市场价鸺千,3室2厅2卫,140,金融街丰汇园小区距4号线大兴线灵境胡同地铁站步行752m,20000,116.368323,39.915216,西城区
2521,育新地铁旁育新花园新康园龙旗广场北新家园建材城西一里两居出租,2室1厅1卫,65,西三旗建材城西一里距8号线北段育新地铁站步行470m,5300,116.352057,40.062673,海淀区
2522,首开万科台湖新城V公馆龤室麣厅龤卫,2室1厅2卫,50.5,通州周边首开万科台湖新城V公馆,4000,116.583445,39.819005,通州区
2523,通州台湖首开万科城市之光瑞秀佳园龤室麣厅龤卫龒鸺閏閏元月,2室1厅2卫,72,次渠首开万科城市之光(商住楼...距亦庄线亦庄火车站地铁站步行1756m,3500,116.589953,39.816294,通州区
2524,国贸双井富力城C区精装龤居老业主诚心租方便看房随时起租,2室2厅1卫,86,双井富力城(C区)距10号线双井地铁站步行731m,11000,116.458195,39.895502,朝阳区
2525,潘家园地铁站华威西里小区精装两居业主直租随时看房拎包入住,2室1厅1卫,60,潘家园华威西里距10号线潘家园地铁站步行980m,5200,116.450674,39.872642,朝阳区
2526,新华西街小区龒室麣厅麣卫,3室1厅1卫,74,新华大街新华西街小区距八通线通州北苑地铁站步行1115m,4900,116.646884,39.906311,通州区
2527,北京城建畅悦居麣室龤厅麣卫龒鑶鸺閏元月精装修临近地铁,1室2厅1卫,73,北七家北京城建畅悦居,3750,116.357299,40.103068,昌平区
2528,西单地铁口大悦城鲁迅中学实验二小教育街精装两居出租！,2室1厅1卫,72,西单西单教育街小区距4号线大兴线西单地铁站步行537m,8500,116.374072,39.907383,西城区
2529,保利欣苑龒室龤厅龤卫,3室2厅2卫,127.65,七里庄保利欣苑距9号线七里庄地铁站步行1592m,9300,116.294292,39.866773,丰台区
2530,整租|魔方公寓酒仙桥魔尔公寓郎园店,2室1厅1卫,55,酒仙桥  郎园STATION,6900,116.516697,39.966649,朝阳区
2531,整租|北关房地远洋悦山水3室2厅,3室2厅1卫,110,北关  房地远洋悦山水,4600,116.659375,39.941674,通州区
2532,整租|魔方公寓酒仙桥魔尔公寓郎园店,1室1厅1卫,28,酒仙桥  郎园STATION,4100,116.516697,39.966649,朝阳区
2533,整租|乐乎社区青塔五棵松,1室1厅1卫,20,青塔  青塔西里,3200,116.264884,39.895354,丰台区
2534,整租|豆各庄青荷里南山园2室1厅,2室1厅1卫,82,豆各庄  青荷里南山园,4500,116.562718,39.861488,朝阳区
2535,整租|大望路珠江帝景(B区)1室1厅,1室1厅1卫,75,大望路  珠江帝景(B区),11980,116.480116,39.890092,朝阳区
2536,整租|后沙峪顺义绿地启航国际1室0厅,1室0厅1卫,40,后沙峪  顺义绿地启航国际,3200,116.556426,40.116173,顺义区
2537,整租|将台路将府锦苑1室1厅,1室1厅1卫,60,将台路  将府锦苑,4700,116.52495,39.978214,朝阳区
2538,整租|大兴周边空港新苑13号院2室1厅,2室1厅1卫,90,大兴周边  空港新苑13号院,2300,116.307831,39.521492,大兴区
2539,整租|熊猫公寓生物医药基地天宫院轻奢社区,1室1厅1卫,25,生物医药基地  保利春天里,1299,116.322009,39.672547,大兴区
2540,整租|乐乎社区生物医药基地乐乎悦康店,1室1厅1卫,35,生物医药基地  悦康药业生物医药产业集群,1700,116.290593,39.665611,大兴区
2541,整租|双井垂杨柳北里2室1厅,2室1厅1卫,60,双井  垂杨柳北里,5500,116.458681,39.890758,朝阳区
2542,整租|高米店保利茉莉公馆2室1厅,2室1厅1卫,39,高米店  保利茉莉公馆,6090,116.328861,39.774963,大兴区
2543,整租|高米店保利茉莉公馆2室1厅,2室1厅1卫,39,高米店  保利茉莉公馆,6090,116.328861,39.774963,大兴区
2544,整租|黄村首座御园(二期12室1厅,2室1厅1卫,75,黄村  首座御园(二期1号院),3700,116.367499,39.751878,大兴区
2545,整租|青塔青塔蔚园1室1厅,1室1厅1卫,44,青塔  青塔蔚园,3700,116.262498,39.894116,丰台区
2546,整租|台湖镇首开万科城市之光2室1厅,2室1厅2卫,70,台湖镇  首开万科城市之光,3700,116.589953,39.816294,通州区
2547,整租|熊猫公寓庞各庄庞各庄河马公舍,1室1厅1卫,25,庞各庄  河马公舍,1399,116.322957,39.629603,大兴区
2548,整租|土桥自由筑1室1厅,1室1厅1卫,55,土桥  自由筑,3000,116.698071,39.875726,通州区
2549,整租|熊猫公寓庞各庄庞各庄河马公舍,1室1厅1卫,25,庞各庄  河马公舍,1399,116.322957,39.629603,大兴区
2550,整租|东坝恒大江湾2室1厅,2室1厅1卫,86,东坝  恒大江湾,6000,116.532171,39.969021,朝阳区
2551,整租|东坝东泽园3室1厅,3室1厅1卫,90,东坝  东泽园,5300,116.558145,39.959776,朝阳区
2552,整租|熊猫公寓生物医药基地天宫院一店,1室1厅1卫,23,生物医药基地  保利春天派,1399,116.319003,39.669213,大兴区
2553,整租|沙河七燕路1号院2室1厅,2室1厅1卫,65,沙河  七燕路1号院,4800,116.316847,40.10742,昌平区
2554,整租|东坝东泽园2室1厅,2室1厅1卫,75,东坝  东泽园,4300,116.558145,39.959776,朝阳区
2555,整租|东坝北京城建福润四季2室1厅,2室1厅1卫,75,东坝  北京城建福润四季A区,4500,116.57776,39.958397,朝阳区
2556,整租|东坝北京城建福润四季2室1厅,2室1厅1卫,75,东坝  北京城建福润四季A区,4800,116.57776,39.958397,朝阳区
2557,整租|双井首城国际2室1厅,2室1厅1卫,87,双井  首城国际,9500,116.469842,39.890794,朝阳区
2558,整租|东坝金隅景和园(朝新2室1厅,2室1厅1卫,80,东坝  金隅景和园(朝新嘉园东里七区),5500,116.550479,39.952254,朝阳区
2559,整租|东坝金泰丽富嘉园(32室1厅,2室1厅1卫,80,东坝  金泰丽富嘉园(30号院),4600,116.548775,39.955956,朝阳区
2560,整租|东坝金泰丽富嘉园(32室1厅,2室1厅1卫,85,东坝  金泰丽富嘉园(30号院),4800,116.548775,39.955956,朝阳区
2561,整租|次渠首开万科城市之光1室1厅,1室1厅2卫,62,次渠  首开万科城市之光(商住楼),3500,116.589953,39.816294,通州区
2562,整租|双井易构空间1室1厅,1室1厅1卫,50,双井  易构空间,5800,116.480772,39.900282,朝阳区
2563,整租|霍营龙锦苑东五区3室1厅,3室1厅2卫,120,霍营  龙锦苑东五区,6300,116.37421,40.086315,昌平区
2564,整租|小汤山北阿苏卫小区2室1厅,2室1厅1卫,64,小汤山北  阿苏卫小区,3000,116.393312,40.169958,昌平区
2565,整租|东坝富兴首府2室1厅,2室1厅1卫,80,东坝  富兴首府,5500,116.531437,39.967181,朝阳区
2566,整租|柚米寓石门26街区柚米寓,1室1厅1卫,26,石门  旭辉26街区,3171,116.612087,40.123084,顺义区
2567,整租|垡头垡头翠成馨园(B3室2厅,3室2厅2卫,125,垡头  垡头翠成馨园(B区201-210号),7500,116.508516,39.856862,朝阳区
2568,整租|双井百环家园1室1厅,1室1厅1卫,60,双井  百环家园,6500,116.465359,39.889133,朝阳区
2569,整租|定福庄聚福苑2室1厅,2室1厅1卫,86,定福庄  聚福苑,5600,116.555538,39.916812,朝阳区
2570,整租|物资学院路新建村(二期)1室1厅,1室1厅1卫,60,物资学院路  新建村(二期),4200,116.644293,39.930026,通州区
2571,整租|黄村泰禾中央广场4室2厅,4室2厅2卫,169,黄村  泰禾中央广场,6000,116.322161,39.7146,大兴区
2572,整租|定福庄泰福苑(三区)1室1厅,1室1厅1卫,58,定福庄  泰福苑(三区),4580,116.572732,39.921772,朝阳区
2573,整租|回龙观马连店家园3室1厅,3室1厅1卫,80,回龙观  马连店家园,5700,116.345426,40.09072,昌平区
2574,整租|双桥宇达创意中心1室1厅,1室1厅1卫,28,双桥  宇达创意中心,2400,116.582054,39.870406,朝阳区
2575,整租|乐乎社区青塔五棵松,1室1厅1卫,18,青塔  青塔西里,3300,116.264884,39.895354,丰台区
2576,整租|乐优寓豆各庄吉祥苑,1室1厅1卫,27,豆各庄  海棠公社(2号院),2000,116.555283,39.873936,朝阳区
2577,整租|广渠门FREE自由季1室1厅,1室1厅1卫,59,广渠门  FREE自由季,4600,116.437112,39.890186,东城区
2578,整租|柚米寓石门26街区柚米寓,1室1厅1卫,20,石门  旭辉26街区,2808,116.612087,40.123084,顺义区
2579,整租|土桥自由筑2室1厅,2室1厅1卫,68,土桥  自由筑,3600,116.698071,39.875726,通州区
2580,整租|土桥自由筑3室1厅,3室1厅1卫,70,土桥  自由筑,3800,116.698071,39.875726,通州区
2581,整租|西红门理想家园1室1厅,1室1厅1卫,48,西红门  理想家园,4730,116.341292,39.783371,大兴区
2582,整租|新宫南庭新苑北区2室1厅,2室1厅1卫,58,新宫  南庭新苑北区,5630,116.368961,39.806855,丰台区
2583,整租|马家堡嘉园一里丰开苑小2室1厅,2室1厅1卫,65,马家堡  嘉园一里丰开苑小区,6860,116.366584,39.853329,丰台区
2584,整租|马家堡富卓苑1室1厅,1室1厅1卫,36,马家堡  富卓苑,4460,116.375109,39.83738,丰台区
2585,整租|北苑美立方2室1厅,2室1厅1卫,84,北苑  美立方,7660,116.418446,40.038729,朝阳区
2586,整租|己美公寓宋庄东夏园宋庄店,1室0厅1卫,25,宋庄  六合新村(北区),1700,116.721912,39.937155,通州区
2587,整租|东坝汇景苑二区1室1厅,1室1厅1卫,60,东坝  汇景苑二区,4000,116.53523,39.956523,朝阳区
2588,整租|黄村泰禾中央广场2室1厅,2室1厅1卫,88,黄村  泰禾中央广场,3800,116.322161,39.7146,大兴区
2589,整租|东坝汇景苑二区2室1厅,2室1厅1卫,80,东坝  汇景苑二区,4900,116.53523,39.956523,朝阳区
2590,整租|台湖镇首开万科城市之光2室1厅,2室1厅2卫,70,台湖镇  首开万科城市之光,3800,116.589953,39.816294,通州区
2591,整租|角门7克拉1室1厅,1室1厅1卫,39,角门  7克拉,4760,116.385347,39.839364,丰台区
2592,整租|亦庄林肯公园A区2室1厅,2室1厅1卫,70,亦庄  林肯公园A区,7190,116.499042,39.8091,大兴区
2593,整租|魔方公寓酒仙桥魔尔公寓郎园店,2室1厅1卫,55,酒仙桥  郎园STATION,6900,116.516697,39.966649,朝阳区
2594,整租|北关房地远洋悦山水3室2厅,3室2厅1卫,110,北关  房地远洋悦山水,4600,116.659375,39.941674,通州区
2595,整租|魔方公寓酒仙桥魔尔公寓郎园店,1室1厅1卫,28,酒仙桥  郎园STATION,4100,116.516697,39.966649,朝阳区
2596,整租|乐乎社区青塔五棵松,1室1厅1卫,20,青塔  青塔西里,3200,116.264884,39.895354,丰台区
2597,整租|豆各庄青荷里南山园2室1厅,2室1厅1卫,82,豆各庄  青荷里南山园,4500,116.562718,39.861488,朝阳区
2598,整租|大望路珠江帝景(B区)1室1厅,1室1厅1卫,75,大望路  珠江帝景(B区),11980,116.480116,39.890092,朝阳区
2599,整租|后沙峪顺义绿地启航国际1室0厅,1室0厅1卫,40,后沙峪  顺义绿地启航国际,3200,116.556426,40.116173,顺义区
2600,整租|将台路将府锦苑1室1厅,1室1厅1卫,60,将台路  将府锦苑,4700,116.52495,39.978214,朝阳区
